"flower_id","flower_name","file","source_url","photographer","downloaded_at","license_note"
"41","バイモユリ","images/flowers/v6/041.jpg","https://www.pexels.com/photo/a-yellow-fritillaria-flower-12728461/","","2026-04-15","Pexels License"
"42","カタクリ","images/flowers/v6/042_fix3.jpg","https://images.pexels.com/photos/11968631/pexels-photo-11968631.jpeg","","2026-04-15","Pexels License"
"43","オオイヌノフグリ","images/flowers/v6/043.jpg","https://www.pexels.com/photo/bee-on-purple-veronica-flower-close-up-35928401/","","2026-04-15","Pexels License"
"44","ネモフィラ","images/flowers/v6/044.jpg","https://www.pexels.com/photo/vibrant-field-of-blue-nemophila-flowers-in-bloom-33341988/","","2026-04-15","Pexels License"
"45","ルピナス","images/flowers/v6/045.jpg","https://www.pexels.com/photo/lupine-flowers-in-bloom-11150611/","","2026-04-15","Pexels License"
"46","アヤメ","images/flowers/v6/046.jpg","https://www.pexels.com/photo/close-up-of-an-iris-flower-12398984/","","2026-04-15","Pexels License"
"47","ハナミズキ","images/flowers/v6/047.jpg","https://www.pexels.com/photo/dogwood-flowers-in-bloom-4257074/","","2026-04-15","Pexels License"
"48","ドクダミ","images/flowers/v6/048.jpg","https://www.pexels.com/photo/houttuynia-cordata-chameleon-plant-with-bright-leaves-3848717/","","2026-04-15","Pexels License"
"49","ノウゼンカズラ","images/flowers/v6/049.jpg","https://www.pexels.com/photo/golden-trumpet-flowers-8125790/","","2026-04-15","Pexels License"
"50","オミナエシ","images/flowers/v6/050.jpg","https://www.pexels.com/photo/wide-angle-shot-of-patrinia-scabiosifolia-4744905/","","2026-04-15","Pexels License"
"51","ヒガンバナ","images/flowers/v6/051.jpg","https://www.pexels.com/photo/close-up-of-a-red-spider-lily-on-green-background-29241281/","","2026-04-15","Pexels License"
"52","ケイトウ","images/flowers/v6/052.jpg","https://www.pexels.com/photo/celosia-flowers-photography-1212045/","","2026-04-15","Pexels License"
"53","サルビア","images/flowers/v6/053.jpg","https://www.pexels.com/photo/close-up-shot-of-blooming-salvia-farinacea-flowers-10643944/","","2026-04-15","Pexels License"
"54","コチョウラン","images/flowers/v6/054.jpg","https://www.pexels.com/photo/close-up-of-elegant-white-phalaenopsis-orchids-31874238/","","2026-04-15","Pexels License"
"55","オンシジウム","images/flowers/v6/055.jpg","https://www.pexels.com/photo/two-pink-and-green-orchid-flowers-132468/","","2026-04-15","Pexels License"
"56","デンドロビウム","images/flowers/v6/056.jpg","https://www.pexels.com/photo/vibrant-dendrobium-orchids-in-bloom-34782679/","","2026-04-15","Pexels License"
"57","シンビジウム","images/flowers/v6/057.jpg","https://www.pexels.com/photo/close-up-of-vibrant-cymbidium-orchids-30522865/","","2026-04-15","Pexels License"
"58","プリムラ","images/flowers/v6/058.jpg","https://www.pexels.com/photo/vivid-primrose-flowers-in-full-bloom-36062097/","","2026-04-15","Pexels License"
"59","マトリカリア","images/flowers/v6/059.jpg","https://www.pexels.com/photo/close-up-of-feverfew-flowers-8541321/","","2026-04-15","Pexels License"
"60","ストック","images/flowers/v6/060.jpg","https://www.pexels.com/photo/woman-holding-white-stock-flowers-outdoors-35857499/","","2026-04-15","Pexels License"
